CISO_Sep
141.6
140.43
153.37
169.95
198.35
244.82
259.19
254.69
251.98
258.98
259.27
274.37
277.97
277.05
282.58
291.1
291.62
293.76
269.11
211.53
183.22
174.7
182.67
181.13
174.98
172.38
173.78
184.43
207.61
244.24
260.41
259.56
261.89
282.35
287.13
287.56
283.58
276.71
272.93
270.71
277.47
275.37
234.65
153.57
123.53
126.17
118.03
116.71
113.59
