carbon_intensity_production_avg
235.72
272.12
271.94
275.66
275.89
274.67
260.51
241.74
229.57
230.63
221.73
222.77
215.17
211.67
235.79
181.52
135.75
109.94
89.19
86.92
87.76
90.27
113.15
160.25
